"Time","Power","sm1","sm2","sm3","sm4","sm5","sm6","sm sum","temp1","temp2","temp3","temp4","temp5","temp6"
"09/14/2022 16:18:12","Off","","","","","","","","","","","","",""
"09/14/2022 16:18:12","On","","","","","","","","","","","","",""
"09/14/2022 15:47:53","On","","","","","","","","","","","","",""
"09/14/2022 15:17:36","On","","","","","","","","","","","","",""
"09/14/2022 14:47:17","On","","","","","","","","","","","","",""
"09/14/2022 14:16:59","On","","","","","","","","","","","","",""
"09/14/2022 13:46:41","On","","","","","","","","","","","","",""
"09/14/2022 13:16:23","On","","","","","","","","","","","","",""
"09/14/2022 12:46:05","On","","","","","","","","","","","","",""
"09/14/2022 12:15:48","On","","","","","","","","","","","","",""
"09/14/2022 11:45:32","On","","","","","","","","","","","","",""
"09/14/2022 11:15:16","On","","","","","","","","","","","","",""
"09/14/2022 10:44:59","On","","","","","","","","","","","","",""
"09/14/2022 10:14:42","On","","","","","","","","","","","","",""
"09/14/2022 09:44:23","On","","","","","","","","","","","","",""
"09/14/2022 09:14:47","On","0","0","0","0.08439","0","0.8729","0.95729","67.8938","68.9846","70.0016","69.4994","71.5586","72.1706"
"09/14/2022 08:44:23","On","","","","","","","","","","","","",""
"09/14/2022 08:14:06","On","","","","","","","","","","","","",""
"09/14/2022 07:43:48","On","","","","","","","","","","","","",""
"09/14/2022 07:13:30","On","","","","","","","","","","","","",""
"09/14/2022 06:43:11","On","","","","","","","","","","","","",""
"09/14/2022 06:12:52","On","","","","","","","","","","","","",""
"09/14/2022 05:42:35","On","","","","","","","","","","","","",""
"09/14/2022 05:12:16","On","","","","","","","","","","","","",""
"09/14/2022 04:41:56","On","","","","","","","","","","","","",""
"09/14/2022 04:11:37","On","","","","","","","","","","","","",""
"09/14/2022 03:41:19","On","","","","","","","","","","","","",""
"09/14/2022 03:11:02","On","","","","","","","","","","","","",""
"09/14/2022 02:40:42","On","","","","","","","","","","","","",""
"09/14/2022 02:10:24","On","","","","","","","","","","","","",""
"09/14/2022 01:40:08","On","","","","","","","","","","","","",""
"09/14/2022 01:09:49","On","","","","","","","","","","","","",""
"09/14/2022 00:39:30","On","","","","","","","","","","","","",""
"09/14/2022 00:09:11","On","","","","","","","","","","","","",""
"09/13/2022 23:38:53","On","","","","","","","","","","","","",""
"09/13/2022 23:08:34","On","","","","","","","","","","","","",""
"09/13/2022 22:38:16","On","","","","","","","","","","","","",""
"09/13/2022 22:08:00","On","","","","","","","","","","","","",""
"09/13/2022 21:37:44","On","","","","","","","","","","","","",""
"09/13/2022 21:07:25","On","","","","","","","","","","","","",""
"09/13/2022 20:37:07","On","","","","","","","","","","","","",""
"09/13/2022 20:06:49","On","","","","","","","","","","","","",""
"09/13/2022 19:36:36","On","","","","","","","","","","","","",""
"09/13/2022 19:06:18","On","","","","","","","","","","","","",""
"09/13/2022 18:36:47","On","13.196","13.197","7.326","16.522","17.291","16.001","83.533","79.007","78.2348","77.7182","77.6084","78.0404","78.287"
"09/13/2022 18:07:07","On","13.167","13.189","7.349","16.569","17.3","16.008","83.582","79.2608","78.2348","77.6696","77.6462","78.0404","78.3338"
"09/13/2022 17:37:25","On","13.141","13.207","7.366","16.608","17.313","16.008","83.643","79.628","78.0944","77.6696","77.5418","78.0404","78.3338"
"09/13/2022 17:07:41","On","13.167","13.239","7.391","16.671","17.334","16.008","83.81","79.7918","78.0026","77.5742","77.315","77.9468","78.287"
"09/13/2022 16:37:58","On","13.19","13.279","7.425","16.714","17.364","16.012","83.984","79.8476","77.909","77.2898","77.2304","77.9468","78.287"
"09/13/2022 16:08:16","On","13.262","13.314","7.445","16.781","17.356","16.02","84.178","79.7","77.7218","77.2898","77.2304","77.9936","78.287"
"09/13/2022 15:38:33","On","13.337","13.386","7.485","16.817","17.364","16.027","84.416","79.583","77.5238","76.9586","77.2682","77.7578","78.359"
"09/13/2022 15:08:48","On","13.45","13.469","7.51","16.872","17.395","16.035","84.731","79.4696","77.198","76.91","77.2574","77.8514","78.287"
"09/13/2022 14:39:06","On","13.562","13.545","7.546","16.936","17.399","16.05","85.038","79.3328","76.8704","76.6724","77.117","77.6624","78.287"
"09/13/2022 14:09:19","On","13.702","13.61","7.583","16.995","17.416","16.053","85.359","78.782","76.487","76.5788","77.0324","77.8982","78.3698"
"09/13/2022 13:39:37","On","13.864","13.69","7.61","17.051","17.408","16.068","85.691","78.4616","76.487","76.5302","76.9748","77.7578","78.3806"
"09/13/2022 13:09:50","On","14.002","13.792","7.633","17.083","17.421","16.08","86.011","77.8658","76.0406","76.2458","77.153","77.8046","78.3428"
"09/13/2022 12:40:07","On","14.169","13.876","7.669","17.143","17.421","16.068","86.346","77.1314","75.74","76.1882","76.937","77.9936","78.4724"
"09/13/2022 12:10:25","On","14.323","13.946","7.697","17.191","17.421","16.098","86.676","76.3988","75.5744","76.1882","77.0594","77.9936","78.3338"
"09/13/2022 11:40:43","On","14.471","14.012","7.722","17.195","17.421","16.083","86.904","75.9398","75.4412","76.1504","77.306","78.0404","78.647"
"09/13/2022 11:11:03","On","14.627","14.082","7.738","17.223","17.425","16.087","87.182","75.5276","75.2936","76.1504","77.2682","78.0404","78.6578"
"09/13/2022 10:41:23","On","14.753","14.123","7.754","17.255","17.425","16.098","87.408","75.0686","75.4034","76.199","77.306","78.0404","78.6938"
"09/13/2022 10:11:43","On","14.826","14.186","7.768","17.279","17.425","16.098","87.582","74.9678","75.254","76.235","77.342","78.0404","78.6578"
"09/13/2022 09:42:02","On","14.9","14.212","7.759","17.291","17.425","16.095","87.682","74.7644","75.3566","76.388","77.306","78.0404","78.6938"
"09/13/2022 09:12:22","On","14.946","14.231","7.768","17.32","17.416","16.095","87.776","74.6456","75.4034","76.4834","77.306","78.1826","78.6938"
"09/13/2022 08:42:41","On","14.971","14.22","7.77","17.299","17.403","16.095","87.758","74.7086","75.3674","76.4834","77.342","78.2294","78.6578"
"09/13/2022 08:13:00","On","14.985","14.257","7.775","17.283","17.382","16.091","87.773","74.6006","75.3674","76.6148","77.3528","78.1826","78.6578"
"09/13/2022 07:43:17","On","15.02","14.261","7.779","17.279","17.377","16.087","87.803","74.6834","75.4034","76.6256","77.6354","78.3716","78.6578"
"09/13/2022 07:13:37","On","15.02","14.246","7.777","17.263","17.36","16.08","87.746","74.8652","75.6464","76.8146","77.684","78.3716","78.7046"
"09/13/2022 06:43:54","On","15.031","14.257","7.768","17.287","17.338","16.072","87.753","74.9318","75.74","76.91","77.5616","78.4076","78.6938"
"09/13/2022 06:14:14","On","15.052","14.279","7.772","17.283","17.321","16.076","87.783","75.0398","75.7778","76.91","77.7308","78.4184","78.7046"
"09/13/2022 05:44:33","On","15.059","14.279","7.779","17.263","17.313","16.072","87.765","74.9318","75.704","76.9586","77.7038","78.4184","78.7496"
"09/13/2022 05:14:52","On","15.084","14.287","7.775","17.251","17.295","16.053","87.745","75.1406","75.9848","77.1944","77.8082","78.4184","78.7046"
"09/13/2022 04:45:11","On","15.094","14.298","7.761","17.219","17.291","16.05","87.713","75.2972","76.0406","77.1008","78.0134","78.4184","78.7874"
"09/13/2022 04:15:32","On","15.112","14.317","7.768","17.207","17.274","16.057","87.735","75.371","76.1144","77.2898","77.9504","78.503","78.7964"
"09/13/2022 03:45:52","On","15.123","14.317","7.77","17.191","17.261","16.057","87.719","75.6644","76.3106","77.3384","78.0242","78.4184","78.89"
"09/13/2022 03:16:12","On","15.158","14.32","7.759","17.171","17.252","16.057","87.717","75.7112","76.415","77.4806","78.062","78.503","78.7964"
"09/13/2022 02:46:33","On","15.162","14.343","7.754","17.143","17.231","16.042","87.675","75.803","76.451","77.6696","78.071","78.5606","78.8432"
"09/13/2022 02:16:51","On","15.201","14.343","7.754","17.111","17.201","16.046","87.656","76.0316","76.8146","77.6696","78.2816","78.6074","78.8432"
