"Time","Power","sm1","sm2","sm3","sm4","sm5","sm6","sm sum","temp1","temp2","temp3","temp4","temp5","temp6"
"09/14/2022 16:19:35","On","","","","","","","","","","","","",""
"09/14/2022 15:51:11","On","","","","","","","","","","","","",""
"09/14/2022 15:22:48","On","","","","","","","","","","","","",""
"09/14/2022 14:54:24","On","","","","","","","","","","","","",""
"09/14/2022 14:26:00","On","","","","","","","","","","","","",""
"09/14/2022 13:57:37","On","","","","","","","","","","","","",""
"09/14/2022 13:29:15","On","","","","","","","","","","","","",""
"09/14/2022 13:00:52","On","","","","","","","","","","","","",""
"09/14/2022 12:32:31","On","","","","","","","","","","","","",""
"09/14/2022 12:04:10","On","","","","","","","","","","","","",""
"09/14/2022 11:35:49","On","","","","","","","","","","","","",""
"09/14/2022 11:07:29","On","","","","","","","","","","","","",""
"09/14/2022 10:39:09","On","","","","","","","","","","","","",""
"09/14/2022 10:09:33","On","","","","","","","","","","","","",""
"09/14/2022 09:42:55","On","","","","","","","","","","","","",""
"09/14/2022 09:14:34","On","20.587","20.262","22.311","22.939","18.821","14.47","119.39","69.0944","71.3228","73.2938","73.9148","74.4872","75.3152"
"09/14/2022 08:46:15","On","21.52","20.349","22.342","22.982","18.816","14.456","120.465","68.765","71.3588","73.4756","73.9148","74.534","75.2414"
"09/14/2022 08:17:58","On","21.538","20.368","22.337","23.021","18.801","14.466","120.531","68.387","71.4416","73.8086","73.9148","74.8202","75.4556"
"09/14/2022 07:49:42","On","21.538","20.368","22.342","23.021","18.811","14.46","120.54","68.387","71.3678","73.895","74.2478","74.831","75.5132"
"09/14/2022 07:21:25","On","21.551","20.373","22.355","23.041","18.826","14.439","120.585","68.2448","71.6702","73.895","74.2964","74.8688","75.5492"
"09/14/2022 06:51:51","On","21.551","20.368","22.337","23.065","18.84","14.442","120.603","68.387","71.735","74.066","74.354","74.8688","75.6428"
"09/14/2022 06:25:13","On","21.556","20.378","22.346","23.08","18.801","14.442","120.603","68.387","71.771","74.1992","74.4872","75.1262","75.6914"
"09/14/2022 05:55:00","On","21.538","20.349","22.355","23.099","18.811","14.442","120.594","68.7164","72.1382","74.2478","74.6762","75.2108","75.6536"
"09/14/2022 05:28:51","On","21.564","20.344","22.346","23.133","18.826","14.442","120.655","68.765","72.248","74.5808","74.7248","75.173","75.7004"
"09/14/2022 05:00:35","On","21.547","20.329","22.364","23.138","18.855","14.442","120.675","69.0944","72.4676","74.5898","74.8202","75.2486","75.6158"
"09/14/2022 04:30:22","On","21.56","20.315","22.346","23.162","18.865","14.429","120.677","69.1412","72.752","74.9246","75.02","75.173","75.7004"
"09/14/2022 04:04:13","On","21.551","20.329","22.364","23.192","18.845","14.442","120.723","69.5192","72.8348","74.9246","75.0578","75.2414","75.6914"
"09/14/2022 03:35:57","On","21.569","20.305","22.324","23.187","18.85","14.419","120.654","69.6128","73.0274","75.3044","75.3908","75.4124","75.8984"
"09/14/2022 03:07:39","On","21.551","20.31","22.351","23.221","18.85","14.415","120.698","69.8954","73.3388","75.3422","75.4394","75.5834","75.8786"
"09/14/2022 02:39:22","On","21.551","20.3","22.346","23.265","18.85","14.415","120.727","70.2266","73.6034","75.5816","75.4394","75.5546","75.9722"
"09/14/2022 02:11:06","On","21.556","20.276","22.351","23.295","18.855","14.412","120.745","70.4624","73.8986","75.7616","75.4394","75.6302","75.992"
"09/14/2022 01:43:29","On","21.551","20.266","22.337","23.285","18.855","14.408","120.702","70.6496","74.1722","76.0676","75.5816","75.6788","76.0298"
"09/14/2022 01:14:19","On","21.538","20.276","22.359","23.314","18.865","14.398","120.75","71.0834","74.3558","76.1144","75.8192","75.6878","76.0658"
"09/14/2022 00:46:03","On","21.542","20.252","22.329","23.339","18.865","14.401","120.728","71.4614","74.6312","76.4006","75.8192","75.6986","75.956"
"09/14/2022 00:17:46","On","21.533","20.228","22.342","23.358","18.874","14.401","120.736","71.744","74.9984","76.4492","76.01","75.776","75.9182"
"09/13/2022 23:49:29","On","21.529","20.213","22.329","23.378","18.855","14.391","120.695","72.131","75.3188","76.7714","76.1162","75.9164","76.0298"
"09/13/2022 23:21:12","On","21.515","20.184","22.342","23.393","18.865","14.398","120.697","72.6314","75.5474","76.829","76.1252","75.8786","75.9452"
"09/13/2022 22:52:56","On","21.569","20.194","22.324","23.417","18.87","14.388","120.762","73.1966","75.8696","77.1152","76.163","75.9632","75.9722"
"09/13/2022 22:24:39","On","21.564","20.179","22.329","23.447","18.899","14.384","120.802","73.5188","76.1432","77.2106","76.2008","75.9272","75.983"
