"Time","Power","sm1","sm2","sm3","sm4","sm5","sm6","sm sum","temp1","temp2","temp3","temp4","temp5","temp6"
"09/03/2022 08:46:16","Off","","","","","","","","","","","","",""
"09/03/2022 08:46:15","On","17.345","18.14","12.783","14.03","12.643","11.225","86.166","75.452","76.1666","76.6382","77.594","77.2178","77.2736"
"09/03/2022 08:37:16","On","17.345","18.143","12.767","14.003","12.643","11.231","86.132","75.2414","76.1666","76.793","77.612","77.2664","77.2088"
"09/03/2022 08:35:22","On","17.353","18.143","12.783","13.99","12.64","11.228","86.137","75.2414","76.1666","76.7444","77.5328","77.2178","77.3564"
"09/03/2022 08:33:45","On","17.36","18.147","12.77","14.003","12.64","11.237","86.157","75.29","76.1666","76.5734","77.7146","77.2178","77.3204"
"08/19/2022 16:52:16","On","15.376","16.536","12.35","15.084","15.864","15.061","90.271","80.249","78.3356","76.7768","76.7444","76.1234","76.2656"
"08/19/2022 16:23:52","On","15.479","16.647","12.393","15.122","15.892","15.092","90.625","80.1266","78.134","76.6688","76.7804","76.1234","76.2278"
"08/19/2022 15:55:26","On","15.576","16.729","12.467","15.164","15.921","15.123","90.98","79.7936","77.8874","76.5626","76.6994","76.1234","76.2008"
"08/19/2022 15:27:01","On","15.708","16.838","12.517","15.235","15.954","15.154","91.406","79.4498","77.612","76.3898","76.5482","76.1234","76.2116"
"08/19/2022 14:58:35","On","15.876","16.976","12.57","15.298","15.982","15.182","91.884","78.9746","77.306","76.1864","76.4654","76.1234","76.2278"
"08/19/2022 14:30:09","On","16.03","17.074","12.629","15.333","16.015","15.217","92.298","78.6416","77.2592","76.0802","76.4546","76.1234","76.1918"
"08/19/2022 14:01:43","On","16.144","17.158","12.663","15.379","16.04","15.241","92.625","78.2708","76.9262","76.1936","76.3664","76.1612","76.2746"
"08/19/2022 13:33:18","On","16.229","17.26","12.723","15.429","16.085","15.269","92.995","77.9648","76.6418","75.9902","76.3754","76.1234","76.2278"
"08/19/2022 13:04:55","On","16.328","17.344","12.779","15.461","16.101","15.3","93.313","77.7344","76.3088","75.7706","76.3754","76.0748","76.1648"
"08/19/2022 12:36:31","On","16.439","17.435","12.82","15.5","16.126","15.325","93.645","77.3906","76.1666","75.7706","76.4834","76.1234","76.3232"
"08/19/2022 12:08:05","On","16.583","17.523","12.861","15.542","16.159","15.342","94.01","76.8038","76.1198","75.7706","76.4546","76.1234","76.2476"
"08/19/2022 11:39:40","On","16.666","17.593","12.899","15.574","16.179","15.36","94.271","76.5086","75.7868","75.722","76.3628","76.1234","76.2116"
"08/19/2022 11:11:06","On","16.742","17.635","12.937","15.61","16.208","15.409","94.541","76.2026","75.7868","75.7112","76.3304","76.1234","76.4564"
"08/19/2022 10:42:40","On","16.807","17.7","12.969","15.642","16.229","15.402","94.749","75.8606","75.407","75.5672","76.4114","76.1234","76.5572"
"08/19/2022 10:14:14","On","16.876","17.731","12.975","15.671","16.25","15.44","94.943","75.4898","75.407","75.5186","76.3754","76.1234","76.4942"
"08/19/2022 09:45:50","On","16.923","17.751","13.007","15.703","16.279","15.458","95.121","75.11","75.407","75.5078","76.4546","76.1234","76.604"
"08/19/2022 09:29:57","On","16.971","17.785","13.019","15.724","16.299","15.479","95.277","74.777","75.2648","75.4808","76.3304","76.1234","76.5302"
"08/19/2022 05:27:56","On","16.971","17.785","13.019","15.724","16.299","15.479","95.277","74.777","75.2648","75.4808","76.3304","76.1234","76.5302"
"08/19/2022 04:59:26","On","17.168","18.003","13.249","15.955","16.503","15.748","96.626","74.4332","75.407","75.983","76.7444","76.5032","76.577"
"08/19/2022 04:30:52","On","17.19","18.026","13.269","16.009","16.532","15.769","96.795","74.5772","75.74","76.2314","76.6994","76.4564","76.6814"
"08/19/2022 04:02:20","On","17.198","18.034","13.311","16.034","16.574","15.78","96.931","74.7662","75.7868","76.0424","76.883","76.5032","76.6148"
"08/19/2022 03:33:47","On","17.22","18.065","13.346","16.052","16.599","15.826","97.108","74.6906","75.7868","76.1558","77.0198","76.5032","76.7462"
"08/19/2022 03:05:14","On","17.249","18.096","13.372","16.085","16.633","15.847","97.282","74.8148","75.7868","76.1558","76.9748","76.5518","76.6346"
"08/19/2022 02:36:43","On","17.271","18.116","13.411","16.129","16.666","15.879","97.472","74.966","76.073","76.1288","77.0216","76.5032","76.6508"
"08/19/2022 02:08:09","On","17.271","18.143","13.449","16.161","16.696","15.929","97.649","75.146","76.1666","76.4456","77.1134","76.5896","76.6076"
"08/19/2022 01:39:37","On","17.312","18.179","13.469","16.198","16.729","15.947","97.834","75.11","76.1666","76.3376","77.1584","76.5032","76.6256"
"08/19/2022 01:11:06","On","17.327","18.218","13.505","16.249","16.763","15.99","98.052","75.5276","76.1666","76.5788","77.0684","76.5032","76.6886"
"08/19/2022 00:42:34","On","17.356","18.249","13.544","16.297","16.801","16.022","98.269","75.5276","76.2152","76.532","77.1584","76.5032","76.6346"
"08/19/2022 00:14:01","On","17.367","18.269","13.602","16.329","16.839","16.062","98.468","75.7742","76.4042","76.4654","77.1584","76.5032","76.6724"
"08/18/2022 23:45:32","On","17.397","18.312","13.641","16.381","16.881","16.101","98.713","75.794","76.5464","76.541","77.1584","76.5032","76.6814"
"08/18/2022 23:17:00","On","17.43","18.36","13.7","16.425","16.923","16.137","98.975","75.8696","76.5464","76.4276","77.1152","76.5032","76.8506"
"08/18/2022 22:48:30","On","17.449","18.379","13.753","16.484","16.966","16.166","99.197","76.1378","76.6526","76.4276","77.1062","76.5518","76.6544"
"08/18/2022 22:19:57","On","17.482","18.419","13.789","16.535","16.991","16.206","99.422","76.2494","76.8794","76.4276","77.1584","76.5518","76.6454"
"08/18/2022 21:51:25","On","17.505","18.47","13.845","16.587","17.046","16.253","99.706","76.5932","76.9262","76.6004","77.0702","76.5032","76.5878"
"08/18/2022 21:22:51","On","17.538","18.518","13.904","16.643","17.093","16.275","99.971","76.5176","76.9262","76.5518","77.1584","76.5032","76.7552"
"08/18/2022 20:54:23","On","17.568","18.569","13.964","16.698","17.14","16.311","100.25","76.811","76.8902","76.541","76.9334","76.5032","76.7282"
"08/18/2022 20:25:51","On","17.601","18.625","14.04","16.758","17.183","16.329","100.536","76.9352","76.8902","76.5032","77.1134","76.5032","76.766"
"08/18/2022 19:57:20","On","17.661","18.685","14.103","16.847","17.234","16.365","100.895","76.9352","76.9262","76.5788","76.883","76.5032","76.766"
"08/18/2022 19:28:49","On","17.695","18.748","14.157","16.915","17.281","16.424","101.22","77.1368","76.9262","76.541","76.7822","76.5032","76.8506"
"08/18/2022 19:00:21","On","17.747","18.812","14.25","16.975","17.333","16.435","101.552","77.2304","76.8794","76.5032","76.838","76.5032","76.8398"
"08/18/2022 18:31:50","On","17.822","18.896","14.341","17.046","17.376","16.467","101.948","77.2574","76.7372","76.3106","76.838","76.5032","76.8236"
"08/18/2022 18:03:22","On","17.875","18.993","14.432","17.114","17.432","16.478","102.324","77.0414","76.5464","76.1558","76.7894","76.5032","76.793"
"08/18/2022 17:34:56","On","17.962","19.077","14.52","17.182","17.479","16.46","102.68","76.9352","76.4996","76.118","76.7894","76.4564","76.8596"
"08/18/2022 17:06:29","On","18.075","19.199","14.615","17.253","17.518","16.449","103.109","76.4906","76.2152","76.118","76.7894","76.541","76.9064"
"08/18/2022 16:38:01","On","18.189","19.296","14.69","17.314","17.553","16.427","103.469","76.46","76.1666","76.118","76.8362","76.5032","76.8398"
"08/18/2022 16:09:35","On","18.307","19.394","14.789","17.36","17.57","16.373","103.793","76.0802","76.1666","76.0424","76.7444","76.5032","76.9442"
"08/18/2022 15:41:05","On","18.46","19.496","14.858","17.375","17.574","16.293","104.056","75.8318","76.1666","76.0802","76.6994","76.5032","76.9802"
"08/18/2022 15:12:33","On","18.579","19.569","14.858","17.329","17.566","16.235","104.136","75.8696","76.1666","76.0046","76.7894","76.541","77.018"
"08/18/2022 14:44:00","On","18.676","19.528","14.752","17.231","17.583","16.141","103.911","76.2872","76.1666","75.866","76.7444","76.5518","76.9442"
"08/18/2022 14:15:30","On","18.181","19.3","14.718","17.269","17.626","16.026","103.12","76.4978","75.7868","75.7706","76.7444","76.5986","76.9064"
"08/18/2022 13:47:05","On","18.326","19.402","14.834","17.363","17.692","15.815","103.432","76.2116","75.7868","75.6554","76.685","76.5032","76.7588"
"08/18/2022 13:18:40","On","18.464","19.545","14.986","17.478","17.722","15.426","103.621","75.8696","75.6932","75.7706","76.7894","76.6472","76.9442"
"08/18/2022 12:50:12","On","18.645","19.697","15.11","17.6","17.783","14.816","103.651","75.5276","75.407","75.7328","76.7444","76.838","76.9064"
"08/18/2022 12:21:45","On","18.831","19.853","15.274","17.734","17.835","13.981","103.508","75.11","75.2648","75.884","76.7372","76.8848","77.0954"
"08/18/2022 11:53:16","On","19.072","20.064","15.453","17.862","17.827","13.032","103.31","74.7662","75.0758","75.8084","76.874","76.8848","77.1998"
"08/18/2022 11:24:49","On","19.316","20.26","15.644","17.989","17.713","12.244","103.166","74.4332","75.0272","75.9218","77.0216","76.8848","77.3564"
